found_taxa,common_name,temp_95,region_mean_meansst,region_label
Cryptacanthodes giganteus,Giant wrymouth,12.0389,12.8351,Southeast Alaska
Hemilepidotus hemilepidotus,Red Irish lord,13.502,13.5753,"Haida Gwaii, British Columbia"
Liparis cyclopus,Ribbon snailfish,13.4769,13.5753,"Haida Gwaii, British Columbia"
Hemilepidotus hemilepidotus,Red Irish lord,13.502,14.3358,Central Coast British Columbia
Ammodytes personatus,Pacific sandlance,15.6068,16.3535,"Inner Coast, British Columbia"
Artedius fenestralis,Padded sculpin,16.8227,16.3535,"Inner Coast, British Columbia"
Artedius harringtoni,Scalyhead sculpin,16.3535,16.3535,"Inner Coast, British Columbia"
Clupea pallasii,Pacific herring,15.0505,16.3535,"Inner Coast, British Columbia"
Cymatogaster aggregata,Shiner perch,16.17,16.3535,"Inner Coast, British Columbia"
Enophrys bison,Buffalo sculpin,16.5356,16.3535,"Inner Coast, British Columbia"
Gadus chalcogrammus,Alaska pollock,14.708,16.3535,"Inner Coast, British Columbia"
Gobiesox maeandricus,Northern clingfish,16.407,16.3535,"Inner Coast, British Columbia"
Hexagrammos decagrammus,Kelp greenling,15.3471,16.3535,"Inner Coast, British Columbia"
Hydrolagus colliei,Spotted ratfish,16.02,16.3535,"Inner Coast, British Columbia"
Lepidogobius lepidus,Bay goby,14.8127,16.3535,"Inner Coast, British Columbia"
Merluccius productus,North Pacific hake,16.22,16.3535,"Inner Coast, British Columbia"
Oncorhynchus clarkii,Cutthroat trout,15.1,16.3535,"Inner Coast, British Columbia"
Oncorhynchus gorbuscha,Pink salmon,16.0632,16.3535,"Inner Coast, British Columbia"
Oncorhynchus keta,Chum salmon,15.5522,16.3535,"Inner Coast, British Columbia"
Oncorhynchus kisutch,Coho salmon,16,16.3535,"Inner Coast, British Columbia"
Oncorhynchus tshawytscha,Chinook salmon,15.8,16.3535,"Inner Coast, British Columbia"
Ophiodon elongatus,Lingcod,16.1133,16.3535,"Inner Coast, British Columbia"
Pleuronichthys coenosus,C-O sole,15.7508,16.3535,"Inner Coast, British Columbia"
Hemilepidotus hemilepidotus,Red Irish lord,13.502,14.2646,"Pacific Rim Park, British Columbia"
Clupea pallasii,Pacific herring,15.0505,14.4644,"Puget Sound & Padilla Bay, Washington"
Cryptacanthodes giganteus,Giant wrymouth,12.0389,14.4644,"Puget Sound & Padilla Bay, Washington"
Ammodytes personatus,Pacific sandlance,15.6068,16.2257,"Willapa Bay, Washington"
Clupea pallasii,Pacific herring,15.0505,16.2257,"Willapa Bay, Washington"
Cymatogaster aggregata,Shiner perch,16.17,16.2257,"Willapa Bay, Washington"
Gadus chalcogrammus,Alaska pollock,14.708,16.2257,"Willapa Bay, Washington"
Hexagrammos decagrammus,Kelp greenling,15.3471,16.2257,"Willapa Bay, Washington"
Lepidogobius lepidus,Bay goby,14.8127,16.2257,"Willapa Bay, Washington"
Merluccius productus,North Pacific hake,16.22,16.2257,"Willapa Bay, Washington"
Oncorhynchus clarkii,Cutthroat trout,15.1,16.2257,"Willapa Bay, Washington"
Oncorhynchus gorbuscha,Pink salmon,16.0632,16.2257,"Willapa Bay, Washington"
Oncorhynchus keta,Chum salmon,15.5522,16.2257,"Willapa Bay, Washington"
Oncorhynchus tshawytscha,Chinook salmon,15.8,16.2257,"Willapa Bay, Washington"
Thaleichthys pacificus,Eulachon,14.1884,16.2257,"Willapa Bay, Washington"
Hemilepidotus hemilepidotus,Red Irish lord,13.502,13.9298,"Bodega Bay, California"
Artedius harringtoni,Scalyhead sculpin,16.3535,19.922,"Los Angeles, California"
Artedius lateralis,Smoothhead sculpin,16.6935,19.922,"Los Angeles, California"
Citharichthys stigmaeus,Speckled sanddab,17.3313,19.922,"Los Angeles, California"
Clupea pallasii,Pacific herring,15.0505,19.922,"Los Angeles, California"
Cymatogaster aggregata,Shiner perch,16.17,19.922,"Los Angeles, California"
Engraulis mordax,Californian anchovy,18.8887,19.922,"Los Angeles, California"
Gasterosteus aculeatus,Three-spined stickleback,19.0996,19.922,"Los Angeles, California"
Leptocottus armatus,Pacific staghorn sculpin,18.449,19.922,"Los Angeles, California"
Merluccius productus,North Pacific hake,16.22,19.922,"Los Angeles, California"
Oncorhynchus clarkii,Cutthroat trout,15.1,19.922,"Los Angeles, California"
Oncorhynchus gorbuscha,Pink salmon,16.0632,19.922,"Los Angeles, California"
Oncorhynchus kisutch,Coho salmon,16,19.922,"Los Angeles, California"
Pholis laeta,Crescent gunnel,19.5037,19.922,"Los Angeles, California"
Syngnathus californiensis,Bay pipefish,18.9188,19.922,"Los Angeles, California"
Citharichthys stigmaeus,Speckled sanddab,17.3313,20.8115,"San Diego region, California"
Clupea pallasii,Pacific herring,15.0505,20.8115,"San Diego region, California"
Cymatogaster aggregata,Shiner perch,16.17,20.8115,"San Diego region, California"
Engraulis mordax,Californian anchovy,18.8887,20.8115,"San Diego region, California"
Hydrolagus colliei,Spotted ratfish,16.02,20.8115,"San Diego region, California"
Leptocottus armatus,Pacific staghorn sculpin,18.449,20.8115,"San Diego region, California"
Oncorhynchus gorbuscha,Pink salmon,16.0632,20.8115,"San Diego region, California"
Oncorhynchus keta,Chum salmon,15.5522,20.8115,"San Diego region, California"
Oncorhynchus tshawytscha,Chinook salmon,15.8,20.8115,"San Diego region, California"
Pholis laeta,Crescent gunnel,19.5037,20.8115,"San Diego region, California"
Salmo salar,Atlantic salmon,16.896,20.8115,"San Diego region, California"
Sebastes entomelas,Widow rockfish,16.3639,20.8115,"San Diego region, California"
Syngnathus californiensis,Bay pipefish,18.9188,20.8115,"San Diego region, California"
Typhlogobius californiensis,Blind goby,20.0125,20.8115,"San Diego region, California"
