region_name,lat,lon,region_label,region_lat_name
AK_JN,58.545615883756824,-134.82588481233972,"Juneau Region, Alaska",1
AK_SE,55.37308797490652,-133.1237994530072,Southeast Alaska,2
BC_HG,53.107363480194856,-131.8153953978598,"Haida Gwaii, British Columbia",3
BC_CC,51.523746430196795,-128.33040457866048,Central Coast British Columbia,4
BC_NV,50.48445462831752,-127.70011066057991,"North Vancouver Island, British Columbia",5
BC_IC,50.075273549091484,-125.12916053675869,"Inner Coast, British Columbia",6
BC_PP,48.98795684042999,-125.45183298266227,"Pacific Rim Park, British Columbia",7
WA_PS,48.73719865136661,-122.80909132977737,"Puget Sound & Padilla Bay, Washington",8
WA_WB,46.72258296975286,-124.02071395367437,"Willapa Bay, Washington",9
OR_YB,44.620433493162025,-124.03646566384309,"Yaquina Bay, Oregon",10
OR_CB,43.35965,-124.313525,"Coos Bay, Oregon",11
CA_HB,40.77105883140321,-124.2032271883885,"Humboldt Bay, California",12
CA_NC,38.16088248322265,-122.94138471078126,"Bodega Bay, California",13
CA_SF,38.052138839105645,-122.64961029857983,"San Fransisco Bay, California",14
CA_MB,35.366297833333334,-120.85604649999999,"Morro Bay, California",15
CA_LA,33.70065964078981,-118.10788198649585,"Los Angeles, California",16
CA_SD,33.0077028471445,-117.18052621982386,"San Diego region, California",17
